Complexity,Loss,Equation
1,0.018950019,"-7.2416256e-6"
3,0.0073184283,"(x2 * -0.6483168)"
5,0.0073184096,"(x2 * (-0.64829004 - x1))"
7,0.006948026,"((x0 * 6.32724e-5) - (0.65752834 * x2))"
9,0.0066425293,"(((x0 + x0) * 6.32724e-5) - (x2 * 0.6887577))"
11,0.006260841,"((((x0 + x0) * 2.0168276) * 6.32724e-5) - (x2 * 0.6887577))"
13,0.0061212056,"((-0.5772207 - 0.18105829) * ((x2 + -0.00054690556) - (-0.00054690556 * (1.0404246 - x0))))"
15,0.0061078114,"((-0.45439327 * 1.6583166) * (x2 - (((x0 * -0.6751542) + (0.100382105 + x2)) * -0.00074048195)))"
17,0.006106211,"((x1 - (-0.00037682577 * x0)) + ((((x1 + x2) * (-0.36105356 + -0.3930663)) - 7.8808494e-5) - x1))"
19,0.006106198,"((x1 - (-0.00037764313 * x0)) + (((((x1 + x2) + 0.000826221) * (-0.42801374 + -0.32627854)) + 0.0006281618) - x1))"
